country_code,country_name_tourism,year,value,indicator,country_name_wdi,EN.POP.DNST,IS.AIR.PSGR,IT.NET.USER.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SH.MED.BEDS.ZS,SH.XPD.CHEX.PC.CD,SP.DYN.LE00.IN,SP.POP.TOTL
XE,Heavily indebted poor countries (HIPC),2021,,ST.INT.ARVL,Heavily indebted poor countries (HIPC),44.9054154980091,19149959.028,,914476428986.12,4.24188291548224,1049.99987506014,,51.2303480133665,62.5313735700637,870930036.0
XE,Heavily indebted poor countries (HIPC),2020,,ST.INT.ARVL,Heavily indebted poor countries (HIPC),43.7099075657914,12330289.393,,820678273818.935,0.239495193485297,968.074022023344,,47.7029776782202,63.0726319690016,847743308.0
XE,Heavily indebted poor countries (HIPC),2019,29134874.0028677,ST.INT.ARVL,Heavily indebted poor countries (HIPC),42.5190680719139,27353506.8673374,,811925263665.522,4.46794597491902,984.570661558163,,44.8331888954429,63.0898004183278,824649053.0
XE,Heavily indebted poor countries (HIPC),2018,29458450.954646,ST.INT.ARVL,Heavily indebted poor countries (HIPC),41.3523557492643,26411525.9143882,,783851617853.699,4.23444995905693,977.345900504428,,43.4207146556528,62.798544258222,802020674.0
XD,High income,2024,,ST.INT.ARVL,High income,,,93.4,71522995943824.2,1.92699828836629,50443.9276011316,,,,1417871275.0
XD,High income,2023,,ST.INT.ARVL,High income,,,92.3,68618756866831.8,1.82132848641616,48708.4624685822,,,80.1500151183354,1408764584.0
XD,High income,2022,,ST.INT.ARVL,High income,27.0272663824886,,91.1,65248657227968.5,3.00327834996845,46655.1648590412,,5753.7741338438,79.4313242226593,1398530204.0
XD,High income,2021,,ST.INT.ARVL,High income,26.8676247622244,1346415630.068,90.0,62927771341457.9,5.84337145363854,45211.9410454249,,5835.82024714229,78.8000564470189,1391839631.0
XD,High income,2020,,ST.INT.ARVL,High income,26.8080119115152,930341104.7185,88.5,56044969561614.3,-3.87451598682031,40219.1360185556,5.37206473022,5450.799862454,79.2043516940348,1393490142.0
XD,High income,2019,1522430052.79407,ST.INT.ARVL,High income,26.7361972211884,2717436455.22308,87.5,57469453150147.4,1.91366941349528,41351.4989053257,5.38160157595144,5006.72969297718,80.1994382042117,1389779202.0
XD,High income,2018,1491870217.10045,ST.INT.ARVL,High income,26.6462181721644,2607490599.83649,86.4,56899748048245.3,2.36853626282927,41079.7872699609,5.44347073519998,4904.29536462099,79.9668020572923,1385103279.0
XF,IBRD only,2024,,ST.INT.ARVL,IBRD only,,,73.0,41102217227752.3,4.31382038736446,8253.92125275536,,,,4979720059.0
XF,IBRD only,2023,,ST.INT.ARVL,IBRD only,,,70.5,39445795860390.1,4.82049142032486,7964.73675347128,,,74.5209699459191,4952554878.0
XF,IBRD only,2022,,ST.INT.ARVL,IBRD only,69.6275900862224,,68.6,38173342857338.4,3.73562251626744,7745.39306575372,,420.536575924055,74.251561351988,4928522353.0
XF,IBRD only,2021,,ST.INT.ARVL,IBRD only,69.3015184313588,1016713783.182,66.4,36134729389995.2,7.62424896881966,7366.1147382175,,409.104543332798,71.974522937271,4905534420.0
XF,IBRD only,2020,,ST.INT.ARVL,IBRD only,68.9357687165893,888849229.383,62.8,30426310945474.6,-1.24910026802465,6236.68120499036,3.0334644256063,356.960283737888,73.29542288776,4878606096.0
XF,IBRD only,2019,852166955.667661,ST.INT.ARVL,IBRD only,68.4630156602877,1827957939.65008,54.5,31581844372017.2,4.03893098145156,6517.95432240943,2.94253865268594,348.097574966488,74.0315931724484,4845361414.0
XF,IBRD only,2018,823988846.49919,ST.INT.ARVL,IBRD only,67.9242193333424,1761801271.05385,48.7,30908093008396.4,4.95969989325471,6429.48761275569,2.92397812619665,337.315183179597,73.7952368045971,4807240463.0
ZT,IDA & IBRD total,2024,,ST.INT.ARVL,IDA & IBRD total,,,63.3,43918119394039.4,4.30675413686576,6340.63327027503,,,,6926456321.0
ZT,IDA & IBRD total,2023,,ST.INT.ARVL,IDA & IBRD total,,,60.9,42232758175761.5,4.68591120713855,6157.39821498709,,,72.0008209186498,6858864199.0
ZT,IDA & IBRD total,2022,,ST.INT.ARVL,IDA & IBRD total,70.7266242489639,,59.1,41067771533155.6,3.78277970126719,6043.77728725502,,321.184735186953,71.6779222363782,6795050443.0
ZT,IDA & IBRD total,2021,,ST.INT.ARVL,IDA & IBRD total,70.0806410026448,1057614059.294,56.9,38810576219568.7,7.38440484342473,5764.25548879941,,314.379068998903,69.6682599282971,6732972939.0
